Sample,Section,Master Strat,Strat Height Adjusted,Strat Height,d18O,d13C,Ampl44,Original.Wt,target.wt,target.wt.factor,reweigh,no.carb,reweigh0.5,Original Sheet,Average d18O,Average d13C,Bulk Age,Section Lat,Section Long,Site Section
SEZ 15.1c,SEZ,348.1,15.1,15.1,-9.72,-5.84,726.78,293,1935.12,6.6,TRUE,TRUE,TRUE,2023 March 31,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 15.1d,SEZ,348.1,15.1,15.1,-11.19,-5.32,647.44,306,2268.61,7.41,TRUE,TRUE,TRUE,2023 March 31,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 18.2,SEZ,351.2,18.2,18.2,-7.51,-4.2,399.22,298,3582.97,12.02,TRUE,TRUE,TRUE,2023 March 31,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 18.3,SEZ,351.3,18.3,18.3,-7.92,-3.57,3747.11,299,383.02,1.28,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 19.3,SEZ,352.3,19.3,19.3,-5.35,-3.56,4059.11,292,345.3,1.18,FALSE,FALSE,FALSE,2023 March 31,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 2.0,SEZ,335,2,2,-2.44,-1.97,3263.33,207,304.47,1.47,FALSE,FALSE,FALSE,2024 Nov 19,-2.44,-1.97,6.95,35.41314455,-106.7324058,SEZ
SEZ 2.7,SEZ,335.7,2.7,2.7,-7.25,-4.68,2738.89,302,529.27,1.75,TRUE,FALSE,FALSE,2023 March 31,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 34.8,SEZ,367.8,34.8,34.8,-5.18,-4.39,3455.67,294,408.37,1.39,TRUE,FALSE,FALSE,2023 March 31,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 35.2,SEZ,368.2,35.2,35.2,-7.7,-4.03,2955.89,299,485.54,1.62,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 36,SEZ,369,36,36,-8.08,-3.99,2730.78,330,580.05,1.76,TRUE,FALSE,FALSE,2024 Nov 07,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 36.5,SEZ,369.5,36.5,36.5,-7.33,-3.75,343.22,295,4125.61,13.99,TRUE,TRUE,TRUE,2023 March 31,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 36.6,SEZ,369.6,36.6,36.6,-6.88,-5.2,4215.67,292,332.47,1.14,FALSE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 36.8,SEZ,369.8,36.8,36.8,-9.91,-4.87,4165.33,866,997.95,1.15,FALSE,FALSE,FALSE,2024 Nov 15,-9.91,-4.87,6.95,35.41314455,-106.7324058,SEZ
SEZ 37.5,SEZ,370.5,37.5,37.5,-8.07,-3.98,3482.11,308,424.57,1.38,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 38.7,SEZ,371.7,38.7,38.7,-8.26,-3.06,3582,310,415.41,1.34,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 39.5,SEZ,372.5,39.5,39.5,-8.59,-2.07,3423.22,292,409.44,1.4,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 39.8,SEZ,372.8,39.8,39.8,-8.36,-2.95,3602.44,304,405.06,1.33,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 40.4,SEZ,373.4,40.4,40.4,-8.46,-2.85,3810.78,307,386.69,1.26,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 41,SEZ,374,41,41,-7.74,-2.99,3225.56,292,434.53,1.49,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 42.2,SEZ,375.2,42.2,42.2,-7.5,-3.3,3718,298,384.72,1.29,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 42.7,SEZ,375.7,42.7,42.7,-7.7,-3.17,3710.33,291,376.46,1.29,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 44.7,SEZ,377.7,44.7,44.7,-8.38,-3.99,3949.11,299,363.42,1.22,FALSE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 45.4,SEZ,378.4,45.4,45.4,-7.47,-3.36,4232.78,303,343.6,1.13,FALSE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 47.8,SEZ,380.8,47.8,47.8,-7.68,-3.98,584.67,304,2495.78,8.21,TRUE,TRUE,TRUE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 48.8,SEZ,381.8,48.8,48.8,-9.12,-4.1,2765.33,301,522.47,1.74,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 49.9,SEZ,382.9,49.9,49.9,-8.42,-3.52,2931.33,295,483.06,1.64,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 50.8,SEZ,383.8,50.8,50.8,-7.35,-4.74,442.89,294,3186.35,10.84,TRUE,TRUE,TRUE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 51.5,SEZ,384.5,51.5,51.5,-8.63,-3.07,3597.56,291,388.26,1.33,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 51.8,SEZ,384.8,51.8,51.8,-9.36,-4.29,3298.56,310,451.11,1.46,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 53,SEZ,386,53,53,-8.14,-3.46,4091.89,732,858.67,1.17,FALSE,FALSE,FALSE,2024 Nov 15,-8.14,-3.46,6.95,35.41314455,-106.7324058,SEZ
SEZ 57.5,SEZ,390.5,57.5,57.5,-8.01,-3.82,3383.78,290,411.37,1.42,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 58.4a,SEZ,391.4,58.4,58.4,-7.72,-3.15,2659,296,534.34,1.81,TRUE,FALSE,FALSE,2023 April 4,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 58.4b,SEZ,391.4,58.4,58.4,-8.1,-3.43,4469.44,1028,1104.03,1.07,FALSE,FALSE,FALSE,2024 Nov 15,-8.1,-3.43,6.95,35.41314455,-106.7324058,SEZ
SEZ 64.4,SEZ,397.4,64.4,64.4,-8.02,-3.43,2540,354,668.98,1.89,TRUE,FALSE,FALSE,2024 Oct 19,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 66,SEZ,399,66,66,-8.41,-2.79,3347.33,332,476.08,1.43,FALSE,FALSE,FALSE,2024 Nov 07,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 67.9,SEZ,400.9,67.9,67.9,-8.5,-3.01,4126,340,395.54,1.16,FALSE,FALSE,FALSE,2024 Nov 15,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 68.5,SEZ,401.5,68.5,68.5,-8.28,-3.43,5444.89,978,862.17,0.88,FALSE,FALSE,FALSE,2024 Nov 19,-8.28,-3.43,6.95,35.41314455,-106.7324058,SEZ
SEZ 68.7,SEZ,401.7,68.7,68.7,-9.25,-3.43,3309.44,348,504.74,1.45,FALSE,FALSE,FALSE,2024 Nov 07,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 69.1,SEZ,402.1,69.1,69.1,-7.67,-3.72,4116.78,369,430.24,1.17,FALSE,FALSE,FALSE,2024 Nov 07,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 70.3,SEZ,403.3,70.3,70.3,-5.09,-2.17,6567.56,355,259.46,0.73,TRUE,FALSE,FALSE,2024 Mar 28,-5.17,-2.155,6.95,35.41314455,-106.7324058,SEZ
SEZ 70.3,SEZ,403.3,70.3,70.3,-5.25,-2.14,5085.67,369,348.27,0.94,FALSE,FALSE,FALSE,2024 Oct 3,-5.17,-2.155,6.95,35.41314455,-106.7324058,SEZ
SEZ 71.2,SEZ,404.2,71.2,71.2,-6.02,-2.36,5878.44,371,302.94,0.82,FALSE,FALSE,FALSE,2024 Nov 15,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 74.9,SEZ,407.9,74.9,74.9,-7.67,-4.13,598.67,284,2277.06,8.02,TRUE,TRUE,TRUE,2024 Mar 08,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 75,SEZ,408,75,75,-8.76,-4.4,5331.56,334,300.7,0.9,FALSE,FALSE,FALSE,2024 Mar 28,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 75.9,SEZ,408.9,75.9,75.9,-6.63,-3.77,5083.44,336,317.27,0.94,FALSE,FALSE,FALSE,2024 Mar 28,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 76.2,SEZ,409.2,76.2,76.2,-8.71,-4.71,5279.44,938,852.82,0.91,FALSE,FALSE,FALSE,2024 Nov 19,-8.71,-4.71,6.95,35.41314455,-106.7324058,SEZ
SEZ 76.9,SEZ,409.9,76.9,76.9,-7.17,-3.77,3477.67,360,496.88,1.38,FALSE,FALSE,FALSE,2024 Nov 07,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 77.4,SEZ,410.4,77.4,77.4,-7.84,-4.16,5203.78,345,318.23,0.92,FALSE,FALSE,FALSE,2024 Oct 3,-8.015,-4.15,6.95,35.41314455,-106.7324058,SEZ
SEZ 77.4,SEZ,410.4,77.4,77.4,-8.19,-4.14,6943.22,365,252.33,0.69,TRUE,FALSE,FALSE,2024 Apr 04,-8.015,-4.15,6.95,35.41314455,-106.7324058,SEZ
SEZ 78.4,SEZ,411.4,78.4,78.4,-8.4,-3.76,2789.33,348,598.85,1.72,TRUE,FALSE,FALSE,2024 Oct 19,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 79.3,SEZ,412.3,79.3,79.3,-7.88,-4.61,4775.33,352,353.82,1.01,FALSE,FALSE,FALSE,2024 Oct 19,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 82.2,SEZ,415.2,82.2,82.2,-9.4,-5.07,5566,363,313.04,0.86,FALSE,FALSE,FALSE,2024 Oct 3,-9.61,-5.125,6.95,35.41314455,-106.7324058,SEZ
SEZ 82.2,SEZ,415.2,82.2,82.2,-9.82,-5.18,7076.44,369,250.3,0.68,TRUE,FALSE,FALSE,2024 Mar 28,-9.61,-5.125,6.95,35.41314455,-106.7324058,SEZ
SEZ 82.4,SEZ,415.4,82.4,82.4,-8.8,-4.65,4226,341,387.32,1.14,FALSE,FALSE,FALSE,2024 Oct 3,-8.85,-4.665,6.95,35.41314455,-106.7324058,SEZ
SEZ 82.4,SEZ,415.4,82.4,82.4,-8.9,-4.68,6364,350,263.98,0.75,FALSE,FALSE,FALSE,2024 Apr 04,-8.85,-4.665,6.95,35.41314455,-106.7324058,SEZ
SEZ 83.7,SEZ,416.7,83.7,83.7,-8.01,-3.84,3192.44,335,503.69,1.5,TRUE,FALSE,FALSE,2024 Apr 04,,,6.95,35.41314455,-106.7324058,SEZ
SEZ 87.2,SEZ,420.2,87.2,87.2,-8.47,-3.71,3022.11,334,530.49,1.59,TRUE,FALSE,FALSE,2024 Oct 3,-8.525,-3.725,6.95,35.41314455,-106.7324058,SEZ
SEZ 87.2,SEZ,420.2,87.2,87.2,-8.58,-3.74,3074,301,470.01,1.56,TRUE,FALSE,FALSE,2024 Mar 28,-8.525,-3.725,6.95,35.41314455,-106.7324058,SEZ
SEZ 88.2,SEZ,421.2,88.2,88.2,-8.72,-4.4,2613.11,318,584.13,1.84,TRUE,FALSE,FALSE,2024 Mar 08,-8.72,-4.4,6.95,35.41314455,-106.7324058,SEZ
SEZ 95.7,SEZ,428.7,95.7,95.7,-7.93,-3.09,5353.89,357,320.07,0.9,FALSE,FALSE,FALSE,2024 Oct 3,-8.08,-3.135,6.95,35.41314455,-106.7324058,SEZ
SEZ 95.7,SEZ,428.7,95.7,95.7,-8.23,-3.18,6621.89,337,244.28,0.72,TRUE,FALSE,FALSE,2024 Apr 04,-8.08,-3.135,6.95,35.41314455,-106.7324058,SEZ
SEZ mod,SEZ,333,,,-8.1,-4.12,5221.56,353,324.5,0.92,FALSE,FALSE,FALSE,2024 Nov 07,,,6.95,35.41314455,-106.7324058,SEZ
SEZe 10.9a,SEZe,448.9,115.9,10.9,-6.56,-4.17,3878.33,366,452.98,1.24,FALSE,FALSE,FALSE,2024 Apr 04,-6.655,-4.135,6.95,35.41108333,-106.7390033,SEZ
SEZe 10.9a,SEZe,448.9,115.9,10.9,-6.75,-4.1,3005.89,342,546.13,1.6,TRUE,FALSE,FALSE,2024 Oct 3,-6.655,-4.135,6.95,35.41108333,-106.7390033,SEZ
SEZe 10.9b,SEZe,448.9,115.9,10.9,-6.81,-4.71,1442,299,995.28,3.33,TRUE,FALSE,TRUE,2024 Mar 08,-6.925,-4.68,6.95,35.41108333,-106.7390033,SEZ
SEZe 10.9b,SEZe,448.9,115.9,10.9,-7.04,-4.65,1473.56,349,1136.84,3.26,TRUE,FALSE,TRUE,2024 Oct 3,-6.925,-4.68,6.95,35.41108333,-106.7390033,SEZ
SEZe 11.4,SEZe,449.4,116.4,11.4,-6.98,-4.82,3838.22,300,375.17,1.25,FALSE,FALSE,FALSE,2024 Mar 08,,,6.95,35.41108333,-106.7390033,SEZ
SEZe 12.0,SEZe,450,117,12,-6.37,-4.57,5368.44,302,270.02,0.89,FALSE,FALSE,FALSE,2024 Mar 08,,,6.95,35.41108333,-106.7390033,SEZ
SEZe 12.8,SEZe,450.8,117.8,12.8,-6.17,-4.6,6253.44,331,254.07,0.77,FALSE,FALSE,FALSE,2024 Apr 04,,,6.95,35.41108333,-106.7390033,SEZ
SEZe 3.8,SEZe,441.8,108.8,3.8,-7.27,-5.99,3683.56,318,414.38,1.3,TRUE,FALSE,FALSE,2024 Mar 08,-7.3,-5.925,6.95,35.41108333,-106.7390033,SEZ
SEZe 3.8,SEZe,441.8,108.8,3.8,-7.33,-5.86,3307,370,537.04,1.45,TRUE,FALSE,FALSE,2024 Oct 3,-7.3,-5.925,6.95,35.41108333,-106.7390033,SEZ
SEZe 9.3,SEZe,447.3,114.3,9.3,-6.37,-4.29,6169.33,355,276.2,0.78,FALSE,FALSE,FALSE,2024 Apr 04,-6.39,-4.29,6.95,35.41108333,-106.7390033,SEZ
SEZe 9.3,SEZe,447.3,114.3,9.3,-6.41,-4.29,5382.44,361,321.94,0.89,FALSE,FALSE,FALSE,2024 Nov 15,-6.39,-4.29,6.95,35.41108333,-106.7390033,SEZ
SEZe 9.6,SEZe,447.6,114.6,9.6,-7.76,-4.61,690.33,296,2058.14,6.95,TRUE,TRUE,TRUE,2024 Mar 08,,,6.95,35.41108333,-106.7390033,SEZ
TYE 23 DUCT 02,DUCT,,,,-16.06,-5.21,4901.89,694,679.57,0.98,FALSE,FALSE,FALSE,2024 Nov 19,-16.06,-5.21,,,,
WAC 55,WAC,606,,55,-7.63,-3.87,,,,,FALSE,FALSE,FALSE,,,,1.5,35.21719,-106.86449,WAC
WAC 54,WAC,605,,54,-7.19,-4.43,,,,,FALSE,FALSE,FALSE,,,,1.52225,35.21719,-106.86449,WAC
WAC 51.5,WAC,602.5,,51.5,-7.78,-4.5,,,,,FALSE,FALSE,FALSE,,,,1.57788,35.21719,-106.86449,WAC
WAC 50,WAC,601,,50,-7.74,-4.53,,,,,FALSE,FALSE,FALSE,,,,1.61125,35.21719,-106.86449,WAC
WAC 45.7,WAC,596.7,,45.7,-6.31,-3.39,,,,,FALSE,FALSE,FALSE,,,,1.70693,35.21719,-106.86449,WAC
WAC 45.5,WAC,596.5,,45.5,-6.56,-4.1,,,,,FALSE,FALSE,FALSE,,,,1.71138,35.21719,-106.86449,WAC
WAC 41,WAC,592,,41,-7.44,-4.74,,,,,FALSE,FALSE,FALSE,,,,1.8115,35.21719,-106.86449,WAC
WAC 32,WAC,583,,32,-8.25,-4.77,,,,,FALSE,FALSE,FALSE,,,,2.6436,35.21719,-106.86449,WAC
WAC 31.5,WAC,582.5,,31.5,-8.34,-5.13,,,,,FALSE,FALSE,FALSE,,,,2.65403,35.21719,-106.86449,WAC
WAC 31,WAC,582,,31,-8.63,-4.86,,,,,FALSE,FALSE,FALSE,,,,2.66447,35.21719,-106.86449,WAC
WAC 30.5,WAC,581.5,,30.5,-7.74,-4.47,,,,,FALSE,FALSE,FALSE,,,,2.6749,35.21719,-106.86449,WAC
WAC 29,WAC,580,,29,-7.81,-4.39,,,,,FALSE,FALSE,FALSE,,,,2.7062,35.21719,-106.86449,WAC
WAC 28.5A,WAC,579.5,,28.5,-8.57,-5.08,,,,,FALSE,FALSE,FALSE,,,,2.71663,35.21719,-106.86449,WAC
WAC 28.5B,WAC,579.5,,28.5,-8.34,-5.48,,,,,FALSE,FALSE,FALSE,,,,2.71663,35.21719,-106.86449,WAC
WAC 24.5,WAC,575.5,,24.5,-8.45,-6.19,,,,,FALSE,FALSE,FALSE,,,,2.8001,35.21719,-106.86449,WAC
WAC 23,WAC,574,,23,-8.71,-5.16,,,,,FALSE,FALSE,FALSE,,,,2.8314,35.21719,-106.86449,WAC
WAC 21,WAC,572,,21,-8.55,-6.74,,,,,FALSE,FALSE,FALSE,,,,2.87313,35.21719,-106.86449,WAC
WAC 20,WAC,571,,20,-8.71,-8.8,,,,,FALSE,FALSE,FALSE,,,,2.894,35.21719,-106.86449,WAC
WAC 18,WAC,569,,18,-8.7,-6.9,,,,,FALSE,FALSE,FALSE,,,,2.93573,35.21719,-106.86449,WAC
WAC 16.5,WAC,567.5,,16.5,-8.04,-6.48,,,,,FALSE,FALSE,FALSE,,,,2.96703,35.21719,-106.86449,WAC
WAC 15.3,WAC,566.3,,15.3,-8.96,-5.81,,,,,FALSE,FALSE,FALSE,,,,2.99207,35.21719,-106.86449,WAC
WAC 14.7,WAC,565.7,,14.7,-8.57,-7.17,,,,,FALSE,FALSE,FALSE,,,,3.00459,35.21719,-106.86449,WAC
WAC 14.5,WAC,565.5,,14.5,-8.17,-7.15,,,,,FALSE,FALSE,FALSE,,,,3.00877,35.21719,-106.86449,WAC
WAC 12.5,WAC,563.5,,12.5,-20.19,-6.48,,,,,FALSE,FALSE,FALSE,,,,3.0505,35.21719,-106.86449,WAC
WAC 11,WAC,562,,11,-9.17,-6.42,,,,,FALSE,FALSE,FALSE,,,,3.0818,35.21719,-106.86449,WAC
WAC 8.5,WAC,559.5,,8.5,-8.82,-5.36,,,,,FALSE,FALSE,FALSE,,,,3.13397,35.21719,-106.86449,WAC
WAC 7.5,WAC,558.5,,7.5,-8.13,-5.16,,,,,FALSE,FALSE,FALSE,,,,3.15483,35.21719,-106.86449,WAC
WAC 6,WAC,557,,6,-8.17,-4.33,,,,,FALSE,FALSE,FALSE,,,,3.18613,35.21719,-106.86449,WAC
WAC 5,WAC,556,,5,-5.25,-2.74,,,,,FALSE,FALSE,FALSE,,,,3.207,35.21719,-106.86449,WAC
WAC 2,WAC,553,,2,-8.03,-4.17,,,,,FALSE,FALSE,FALSE,,,,3.2696,35.21719,-106.86449,WAC
WAC 1.9,WAC,552.9,,1.9,-8.24,-4.5,,,,,FALSE,FALSE,FALSE,,,,3.27169,35.21719,-106.86449,WAC
WAC 1,WAC,552,,1,-7.33,-3.84,,,,,FALSE,FALSE,FALSE,,,,3.29047,35.21719,-106.86449,WAC
WAC 0.8,WAC,551.8,,0.8,-12.42,-5.44,,,,,FALSE,FALSE,FALSE,,,,3.29464,35.21719,-106.86449,WAC
WAC 0,WAC,551,,0,-8.01,-4.5,,,,,FALSE,FALSE,FALSE,,,,3.31133,35.21719,-106.86449,WAC
LL19 29,LL19,,157,157,-8.09,-3.97,,,,,FALSE,FALSE,FALSE,,,,2.60875556,34.80416,-106.80586,LL19
LL19 30,LL19,,159,159,-6.76,-3.84,,,,,FALSE,FALSE,FALSE,,,,2.59025185,34.80416,-106.80586,LL19
LL19 31,LL19,,160,160,-8.23,-4.16,,,,,FALSE,FALSE,FALSE,,,,2.581,34.80416,-106.80586,LL19
LL19 32A,LL19,,162,162,-7.28,-3.58,,,,,FALSE,FALSE,FALSE,,,,2.5624963,34.80416,-106.80586,LL19
LL19 32B,LL19,,162.1,162.1,-8.88,-5.22,,,,,FALSE,FALSE,FALSE,,,,2.56157111,34.80416,-106.80586,LL19
LL19 33,LL19,,162.5,162.5,-8.42,-4.58,,,,,FALSE,FALSE,FALSE,,,,2.55787037,34.80416,-106.80586,LL19
LL19 34,LL19,,163.5,163.5,-8.72,-5.2,,,,,FALSE,FALSE,FALSE,,,,2.54861852,34.80416,-106.80586,LL19
LL19 35,LL19,,163.6,163.6,-7.01,-3.63,,,,,FALSE,FALSE,FALSE,,,,2.54769333,34.80416,-106.80586,LL19
LL19 36,LL19,,161.1,161.1,-7.65,-4.14,,,,,FALSE,FALSE,FALSE,,,,2.57082296,34.80416,-106.80586,LL19
LL19 38,LL19,,162.1,162.1,-6.97,-3.99,,,,,FALSE,FALSE,FALSE,,,,2.56157111,34.80416,-106.80586,LL19
LL19 38B,LL19,,164.5,164.5,-6.79,-4.14,,,,,FALSE,FALSE,FALSE,,,,2.53936667,34.80416,-106.80586,LL19
LL19 39,LL19,,165.5,165.5,-6.53,-3.74,,,,,FALSE,FALSE,FALSE,,,,2.53011481,34.80416,-106.80586,LL19
LL19 40,LL19,,190,190,-6.96,-5.1,,,,,FALSE,FALSE,FALSE,,,,2.30344444,34.80416,-106.80586,LL19
LL19 41,LL19,,191,191,-7.04,-5.58,,,,,FALSE,FALSE,FALSE,,,,2.29419259,34.80416,-106.80586,LL19
LL19 42,LL19,,193,193,-6.64,-4.96,,,,,FALSE,FALSE,FALSE,,,,2.27568889,34.80416,-106.80586,LL19
LL19 43,LL19,,195,195,-6.65,-4.97,,,,,FALSE,FALSE,FALSE,,,,2.25718519,34.80416,-106.80586,LL19
LL19 100,LL19,,126,126,-8.08,-5.11,,,,,FALSE,FALSE,FALSE,,,,2.89556296,34.80416,-106.80586,LL19
LL19 103,LL19,,129,129,-6.47,-5.73,,,,,FALSE,FALSE,FALSE,,,,2.86780741,34.80416,-106.80586,LL19
LL19 104,LL19,,130,130,-7.14,-5.42,,,,,FALSE,FALSE,FALSE,,,,2.85855556,34.80416,-106.80586,LL19
LL19 106,LL19,,132,132,-8.12,-4.96,,,,,FALSE,FALSE,FALSE,,,,2.84005185,34.80416,-106.80586,LL19
LL19 109,LL19,,135,135,-7.95,-5.11,,,,,FALSE,FALSE,FALSE,,,,2.8122963,34.80416,-106.80586,LL19
LL19 124A,LL19,,150,150,-8,-4.71,,,,,FALSE,FALSE,FALSE,,,,2.67351852,34.80416,-106.80586,LL19
LL19 124B,LL19,,150,150,-7.97,-4.76,,,,,FALSE,FALSE,FALSE,,,,2.67351852,34.80416,-106.80586,LL19
CH 1,CH,,4.5,4.5,-13.35,-5.14,,,,,FALSE,FALSE,FALSE,,,,11.8125,36.09071,-106.1529,CH
CH 2,CH,,4.6,4.6,-13.96,-7.09,,,,,FALSE,FALSE,FALSE,,,,11.8083333,36.09071,-106.1529,CH
CH 3,CH,,6.5,6.5,-12.78,-6.32,,,,,FALSE,FALSE,FALSE,,,,11.7291667,36.09071,-106.1529,CH
CH 4,CH,,8,8,-11.91,-0.58,,,,,FALSE,FALSE,FALSE,,,,11.6666667,36.09071,-106.1529,CH
CH 5A,CH,,11.5,11.5,-13.72,-5.69,,,,,FALSE,FALSE,FALSE,,,,11.5208333,36.09071,-106.1529,CH
CH 5B,CH,,11.5,11.5,-13.94,-6.53,,,,,FALSE,FALSE,FALSE,,,,11.5208333,36.09071,-106.1529,CH
CH 6,CH,,12.9,12.9,-12.58,-6.68,,,,,FALSE,FALSE,FALSE,,,,11.4625,36.09071,-106.1529,CH
CH 7 frac,CH,,13.75,13.75,-13.48,-6.28,,,,,FALSE,FALSE,FALSE,,,,11.4270833,36.09071,-106.1529,CH
CH 7,CH,,13.75,13.75,-13.79,-6.01,,,,,FALSE,FALSE,FALSE,,,,11.4270833,36.09071,-106.1529,CH
CH 8,CH,,16.75,16.75,-8.72,-5.01,,,,,FALSE,FALSE,FALSE,,,,11.3020833,36.09071,-106.1529,CH
CH 9,CH,,17,17,-12.85,-6.27,,,,,FALSE,FALSE,FALSE,,,,11.2916667,36.09071,-106.1529,CH
CH 10B,CH,,17.5,17.5,-13.82,-6.76,,,,,FALSE,FALSE,FALSE,,,,11.2708333,36.09071,-106.1529,CH
CH 10B-RC,CH,,17.5,17.5,-13.48,-5.93,,,,,FALSE,FALSE,FALSE,,,,11.2708333,36.09071,-106.1529,CH
CH 10,CH,,18.5,18.5,-11.72,-3.03,,,,,FALSE,FALSE,FALSE,,,,11.2291667,36.09071,-106.1529,CH
CH 11,CH,,19,19,-12.52,-5.98,,,,,FALSE,FALSE,FALSE,,,,11.2083333,36.09071,-106.1529,CH
12 float,CH,,19,19,-13.53,-6.33,,,,,FALSE,FALSE,FALSE,,,,11.2083333,36.09071,-106.1529,CH
CH 12,CH,,19,19,-13.61,-7.35,,,,,FALSE,FALSE,FALSE,,,,11.2083333,36.09071,-106.1529,CH
CH 13,CH,,20.7,20.7,-14.12,-6.45,,,,,FALSE,FALSE,FALSE,,,,11.1375,36.09071,-106.1529,CH
CH 14,CH,,23.2,23.2,-14.59,-7.29,,,,,FALSE,FALSE,FALSE,,,,11.0333333,36.09071,-106.1529,CH
CH 15,CH,,24.5,24.5,-14.11,-6.27,,,,,FALSE,FALSE,FALSE,,,,10.9791667,36.09071,-106.1529,CH
CH 16,CH,,34,34,-12.13,-7.24,,,,,FALSE,FALSE,FALSE,,,,10.5833333,36.09071,-106.1529,CH
CH 17,CH,,38,38,-11.95,-6.56,,,,,FALSE,FALSE,FALSE,,,,10.4166667,36.09071,-106.1529,CH
CH 18,CH,,38.5,38.5,-11.86,-6.48,,,,,FALSE,FALSE,FALSE,,,,10.3958333,36.09071,-106.1529,CH
CH 19,CH,,39,39,-10.59,-6.65,,,,,FALSE,FALSE,FALSE,,,,10.375,36.09071,-106.1529,CH
CH 20,CH,,39.2,39.2,-13.56,-6.65,,,,,FALSE,FALSE,FALSE,,,,10.3666667,36.09071,-106.1529,CH
CH 21 RC,CH,,39.3,39.3,-12.83,-6.07,,,,,FALSE,FALSE,FALSE,,,,10.3625,36.09071,-106.1529,CH
CH 21,CH,,39.3,39.3,-12.63,-6.99,,,,,FALSE,FALSE,FALSE,,,,10.3625,36.09071,-106.1529,CH
CH 22,CH,,43.3,43.3,-13.2,-6.71,,,,,FALSE,FALSE,FALSE,,,,10.1958333,36.09071,-106.1529,CH
CH 23,CH,,41.8,41.8,-13.25,-6.53,,,,,FALSE,FALSE,FALSE,,,,10.2583333,36.09071,-106.1529,CH
CH 24A,CH,,40.5,40.5,-12.69,-5.84,,,,,FALSE,FALSE,FALSE,,,,10.3125,36.09071,-106.1529,CH
CH 24B,CH,,40.5,40.5,-12.08,-5.6,,,,,FALSE,FALSE,FALSE,,,,10.3125,36.09071,-106.1529,CH
CH 24C,CH,,41,41,-11.98,-5.74,,,,,FALSE,FALSE,FALSE,,,,10.2916667,36.09071,-106.1529,CH
CH 25,CH,,47.2,47.2,-13.36,-5.63,,,,,FALSE,FALSE,FALSE,,,,10.0333333,36.09071,-106.1529,CH
CH 26,CH,,47.5,47.5,-14.2,-7.55,,,,,FALSE,FALSE,FALSE,,,,10.0208333,36.09071,-106.1529,CH
WW 1,WW,,3,3,-6.05,-3.22,,,,,FALSE,FALSE,FALSE,,,,7.5,34.6044,-106.0787,WW
